datetime,open,high,low,close,volume
,SQQQ,SQQQ,SQQQ,SQQQ,SQQQ
2022-05-13,280.54998779296875,285.54998779296875,258.3999938964844,262.20001220703125,25288240
2022-05-16,266.25,274.0,260.8500061035156,270.25,22020060
2022-05-17,254.35000610351562,264.95001220703125,248.64999389648438,249.75,23920280
2022-05-18,261.0,289.6000061035156,259.20001220703125,286.04998779296875,26077080
2022-05-19,292.04998779296875,297.0,276.70001220703125,291.29998779296875,32020000
2022-05-20,280.20001220703125,319.29998779296875,278.20001220703125,293.6499938964844,34343540
2022-05-23,290.5,297.95001220703125,278.0,279.04998779296875,22180960
2022-05-24,294.3999938964844,311.1499938964844,292.29998779296875,296.70001220703125,27696060
2022-05-25,301.6000061035156,302.29998779296875,277.75,284.5,21876620
2022-05-26,286.6499938964844,287.6000061035156,256.1000061035156,260.79998779296875,19816980
2022-05-27,252.35000610351562,252.60000610351562,234.85000610351562,235.0500030517578,19580580
2022-05-31,235.10000610351562,246.0500030517578,230.10000610351562,236.5500030517578,24556640
2022-06-01,231.9499969482422,247.5,226.9499969482422,242.5,25058720
2022-06-02,245.0500030517578,248.5,222.0,222.5,22157360
2022-06-03,233.75,242.5,230.64999389648438,239.8000030517578,24972040
2022-06-06,229.0500030517578,241.10000610351562,225.25,237.25,19921080
2022-06-07,245.3000030517578,247.85000610351562,229.35000610351562,231.25,19218780
2022-06-08,233.0500030517578,238.10000610351562,226.89999389648438,236.0,15216560
2022-06-09,240.1999969482422,255.5500030517578,233.0,255.14999389648438,22375080
2022-06-10,269.8500061035156,283.3999938964844,266.79998779296875,282.6000061035156,27765320
2022-06-13,309.04998779296875,324.20001220703125,301.29998779296875,321.04998779296875,31146000
2022-06-14,313.3500061035156,328.79998779296875,310.1499938964844,319.1499938964844,24115740
2022-06-15,307.6000061035156,317.3999938964844,281.8999938964844,295.8500061035156,28404520
2022-06-16,318.75,338.45001220703125,317.1499938964844,330.45001220703125,26021200
2022-06-17,328.8999938964844,335.20001220703125,310.45001220703125,319.79998779296875,24576320
2022-06-21,303.79998779296875,304.1499938964844,287.5,295.8999938964844,16380560
2022-06-22,303.95001220703125,305.70001220703125,282.79998779296875,296.95001220703125,20297800
2022-06-23,289.0,298.20001220703125,281.1000061035156,284.25,20156580
2022-06-24,275.3500061035156,275.95001220703125,255.0,255.0500030517578,17340180
2022-06-27,250.89999389648438,263.20001220703125,249.5500030517578,260.0,16862160
2022-06-28,258.8999938964844,284.54998779296875,251.6999969482422,283.8500061035156,23470680
2022-06-29,284.6000061035156,292.1499938964844,278.54998779296875,283.25,22375040
2022-06-30,292.3999938964844,307.3500061035156,283.1000061035156,294.20001220703125,28186380
2022-07-01,298.1000061035156,304.20001220703125,286.8500061035156,288.1000061035156,21037220
2022-07-05,299.8999938964844,304.70001220703125,273.1000061035156,273.29998779296875,22458380
2022-07-06,272.29998779296875,277.25,262.0,268.25,18371680
2022-07-07,265.70001220703125,265.70001220703125,249.0500030517578,251.39999389648438,15807280
2022-07-08,258.54998779296875,260.95001220703125,246.5500030517578,250.1999969482422,20357280
2022-07-11,256.54998779296875,268.45001220703125,255.8000030517578,266.20001220703125,17792080
2022-07-12,262.79998779296875,278.3999938964844,257.25,273.8999938964844,20643320
2022-07-13,290.25,291.79998779296875,268.6499938964844,275.6000061035156,27419000
2022-07-14,283.5,292.54998779296875,270.20001220703125,272.6499938964844,22933700
2022-07-15,263.79998779296875,268.79998779296875,257.6499938964844,258.20001220703125,19882640
2022-07-18,250.39999389648438,267.54998779296875,246.60000610351562,264.45001220703125,22042300
2022-07-19,254.3000030517578,258.8500061035156,239.3000030517578,240.75,20246140
2022-07-20,239.10000610351562,241.0,225.75,228.8000030517578,23832120
2022-07-21,227.75,233.85000610351562,218.89999389648438,219.0,23896080
2022-07-22,221.0,234.5,216.4499969482422,230.39999389648438,24281500
2022-07-25,230.5,239.1999969482422,229.35000610351562,234.14999389648438,18908420
2022-07-26,238.60000610351562,250.25,238.0500030517578,248.10000610351562,18318200
2022-07-27,236.4499969482422,238.0,212.35000610351562,217.35000610351562,25817980
2022-07-28,217.39999389648438,225.5,209.35000610351562,210.64999389648438,22513020
2022-07-29,207.35000610351562,210.35000610351562,197.25,199.14999389648438,23663860
2022-08-01,202.60000610351562,204.6999969482422,192.8000030517578,199.4499969482422,25078360
2022-08-02,204.0500030517578,206.0500030517578,193.3000030517578,201.39999389648438,28799640
2022-08-03,198.0,198.1999969482422,183.3000030517578,185.3000030517578,24865760
2022-08-04,184.9499969482422,188.6999969482422,181.89999389648438,182.5,23773880
2022-08-05,191.35000610351562,192.64999389648438,183.4499969482422,186.89999389648438,27334680
2022-08-08,185.25,191.39999389648438,178.8000030517578,188.75,24184020
2022-08-09,192.3000030517578,198.1999969482422,191.75,195.10000610351562,22179780
2022-08-10,181.4499969482422,186.10000610351562,178.39999389648438,179.14999389648438,21792140
2022-08-11,175.10000610351562,183.3000030517578,171.6999969482422,181.6999969482422,24696020
2022-08-12,178.5500030517578,180.75,171.14999389648438,171.4499969482422,18104040
2022-08-15,173.0,173.10000610351562,166.5,167.25,17785320
2022-08-16,168.85000610351562,173.25,165.25,168.4499969482422,21785940
2022-08-17,173.39999389648438,177.5500030517578,169.8000030517578,174.39999389648438,25454660
2022-08-18,174.5500030517578,177.14999389648438,171.1999969482422,173.1999969482422,18046840
2022-08-19,178.14999389648438,184.60000610351562,177.10000610351562,183.3000030517578,21468100
